record_id,date_start,date_end,date_label,date_precision,confidence,dating_status,dating_method,source_type,manual_source_1,manual_source_2,evidence_quote_or_summary,review_status,research_note
P003,755,759,"755年；另有乾元秦州说（约759年）",争议范围,低,disputed,chronological_edition,编年全集,"《杜甫全集校注》（人民文学出版社）第636页",https://open.cnkgraph.com/Writing/31503,"编年材料主系于755年；钱谦益、朱鹤龄、卢元昌另系于乾元年间秦州时期，约759年。",manual_single_source,"现阶段保留两个主要系年，不取平均值。"
P004,,,,未知,低,undated,unknown,诗人编年资料,"任国绪《卢照邻集编年笺注》（黑龙江人民出版社，1989）",https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=56,"已检索诗人编年资料与公开诗歌目录，未找到可核验的具体作年。",needs_review,"《刘生》题名短且同题乐府较多，需继续核对编年笺注原页及异题。"
P007,,,,未知,低,undated,unknown,诗人年谱与生平考辨,"卞孝萱《李益年谱稿》",https://www.newsmth.net/bbsanc.php?path=%2Fgroups%2Fliteral.faq%2FClassicPoem%2Fcp_list_sych%2Fscyj%2F20sjstwdwxyjzs%2FM.1138165318.80,"现有李益从军经历系年存在不同意见，公开材料未将本诗稳定系于某年。",needs_review,"需核对《李益年谱稿》及《李益生平及诗歌系年诸问题考辨》原文。"
P009,,,,未知,低,undated,unknown,编年笺注与诗文系年,"安旗主编《李白全集编年笺注》",https://www.tdwxxh.cn/newsinfo/4626591.html,"编年笺注可覆盖李白多数作品，但当前公开检索未取得《白马篇》的具体系年原页。",needs_review,"不采用缺少引文页码的“约731年”网络说法；待查编年笺注。"
P010,,,,未知,低,undated,unknown,诗人生平考证,"谭优学《李颀行年考》",https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=35,"公开诗歌目录及生平考证索引未提供《缓歌行》的可核验作年。",needs_review,"待查谭优学、傅璇琮相关考证原文，并核对乐府异题。"
P012,,,,未知,低,undated,unknown,诗人编年资料,"任国绪《卢照邻集编年笺注》（黑龙江人民出版社，1989）",https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=56,"公开诗歌目录收录《结客少年场行》，但未标明具体年份。",needs_review,"待核对编年笺注原页；目前不以卢照邻任官阶段代替作年。"
P013,,,,未知,低,undated,unknown,编年笺注与诗文系年,"安旗主编《李白全集编年笺注》",https://www.tdwxxh.cn/newsinfo/4626591.html,"当前公开检索未取得《少年行三首》其三的具体系年依据。",needs_review,"需注意组诗各首是否同作一时，并核对詹锳《李白诗文系年》。"
P014,,,,未知,低,undated,unknown,诗人年谱,"张清华《王维年谱》",https://books.google.com/books/about/%E7%8E%8B%E7%BB%B4%E5%B9%B4%E8%B0%B1.html?id=6ZXUAAAAMAAJ,"可访问资料仅支持其为王维早期作品的宽泛判断，不能落实到具体年份。",needs_review,"待核对陈铁民《王维年谱》与张清华《王维年谱》原页；组诗四首需整体判断。"
P015,,,,未知,低,undated,unknown,诗人年谱,"张清华《王维年谱》",https://books.google.com/books/about/%E7%8E%8B%E7%BB%B4%E5%B9%B4%E8%B0%B1.html?id=6ZXUAAAAMAAJ,"可访问资料仅支持其为王维早期作品的宽泛判断，不能落实到具体年份。",needs_review,"与P014同属《少年行四首》，暂不把宽泛的早期标签转换为年份。"
P016,718,718,718年,单年系年,低,exact,poet_chronology,诗歌编年数据库,https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=22,,"诗词检索数据库在王昌龄编年目录中将《少年行二首》其一列于718年。",manual_single_source,"公开数据库给出单年，尚待核对其底本或编年文献说明。"
